Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Колесниченко,Еріка,Тимофіївна,Жінка,1962-05-02,Дерун,місто Городенка,"парк Олександра Блока, буд. 0, Жовті Води, 75539",+380 56 945-75-35,albertdemianenko@example.org
Семенченко,Георгій,Олександрович,Чоловік,2008-03-04,Машиніст,хутір Дебальцеве,"парк Листяна, буд. 846, Дубляни, 42299",915 33 51,venedykt29@example.net
Лукаш,Трохим,Андрійович,Чоловік,2003-06-06,Реабілітолог,село Косів,"парк Обліпихова, буд. 9, Білгород-Дністровський, 40506",+380 (18) 165-30-32,illia95@example.org
Свистун,Вадим,Богданович,Чоловік,1988-05-16,Сантехнік,хутір Білопілля,"узвіз Вузький, буд. 0, Судова Вишня, 19298",+380 (23) 365-52-13,marusiakomar@example.org
Удовиченко,Петро,Андрійович,Чоловік,1942-01-02,Провізор,місто Радехів,"шосе Вчительська, буд. 970, Знам'янка, 10751",+380 36 487-68-08,mykolaivalenko@example.net
Ляшко,Віктор,Іванович,Чоловік,2007-10-24,Паралегал,хутір Шостка,"набережна Євгена Крамаренка, буд. 648, Зоринськ, 89520",071 089 47 44,hohol-ianovskyisemen@example.org
Євтушенко,Роксолана,Максимівна,Жінка,1949-04-19,Гірничий інженер,село Фастів,"парк Суднобудівна, буд. 08 кв. 80, Новомиргород, 15423",015 886-87-33,bebeshkoprokhir@example.org
Аронець,Альберт,Павлович,Чоловік,1963-11-09,Електрослюсар,село Керч,"площа Монастирський, буд. 274 кв. 075, Мостиська, 89325",645-51-60,ivyshniak@example.net
Давиденко,Ілля,Іванович,Чоловік,1985-08-11,Локсмайстер,місто Сніжне,"набережна Балтський 2-й, буд. 583 кв. 9, Гола Пристань, 31646",721-82-59,shchorsazar@example.net
Цісик,Мілена,Юріївна,Жінка,1979-10-20,Модельєр,хутір Липовець,"узвіз Венгера, буд. 75 кв. 788, Березне, 69039",061 821-85-78,varvaradziuba@example.com
Зайченко,Семен,Олегович,Чоловік,1958-12-24,Складальник,місто Буринь,"площа Спортивний, буд. 81, Підгородне, 98795",095 516-82-22,oshutko@example.net
Рябошапка,Ольга,Богданівна,Жінка,2001-10-14,Астрофізик,село Бунге,"вулиця Юннатів 3-й, буд. 3, Дубровиця, 43699",047 223 23 87,iustym67@example.com
Байда,Андрій,Сергійович,Чоловік,2008-10-08,Фермер,хутір Сторожинець,"проспект Канатний, буд. 52, Отаманівка, 16895",+380 (80) 646-41-56,mbandura@example.net
Жученко,Андрій,Петрович,Чоловік,1982-08-19,Промисловець,село Долинська,"узвіз Деревообробний 4-й, буд. 8 кв. 17, Залізне, 16058",+380 (90) 535-81-17,panteleimon45@example.com
Ажажа,Пилип,Юрійович,Чоловік,1951-01-03,Хімік,хутір Сватове,"узвіз Леонтовича, буд. 62, Подільськ, 46396",012 151 12 79,rostyslavchupryna@example.com
Єрьоменко,Болеслав,Олександрович,Чоловік,1990-05-08,Конструктор,хутір Зоринськ,"площа Дніпропетровська дорога, буд. 281 кв. 5, Обухів, 17361",318 35 07,viktorturkalo@example.com
Зінчук,Руслан,Богданович,Чоловік,1969-10-07,Бізнесмен,селище Косів,"набережна Гранатна, буд. 1 кв. 4, Арциз, 87207",+380 72 949-86-64,valentyndziuba@example.com
Дубас,Єлисавета,Богданівна,Жінка,1942-08-05,Бухгалтер,село Маріуполь,"площа Шостої 1-й, буд. 8 кв. 15, Кролевець, 18598",+380 96 077-70-87,arkadiifastenko@example.com
Шухевич,Остап,Григорович,Чоловік,1989-10-07,Різноробочий,хутір Перемишляни,"проспект Кордонна, буд. 4, Попасна, 81627",+380 01 125-47-92,bohuslavsahal@example.org
Мазепа,Вікторія,Василівна,Жінка,1979-02-23,Будник,місто Лутугине,"провулок Панаса Мирного, буд. 26, Костянтинівка, 59058",705-41-23,omeliandzyndra@example.com
Забіла,Соломія,Павлівна,Жінка,2004-03-23,Композитор,місто Федорівка,"вулиця Бориса Нечерди, буд. 7, Селидове, 48836",+380 61 050-93-82,zlatoslavakozak@example.com
Вівчаренко,Данна,Іванівна,Жінка,1948-11-11,Випробувач,село Вилкове,"сквер Прохоровський, буд. 431, Нововолинськ, 32888",+380 95 640-03-17,piatachenkoalbina@example.org
Василевич,Ада,Тимофіївна,Жінка,1993-06-21,Математик,село Святогірськ,"набережна Марсельська, буд. 5, Лохвиця, 62098",+380 26 804-27-46,rozaliiatsisyk@example.net
Цимбалюк,Ада,Федорівна,Жінка,2005-12-18,Кіноактор,селище Південне,"набережна Наявний 3-й, буд. 725 кв. 354, Володимир-Волинський, 96573",742-87-82,deisunalbina@example.com
Власюк,Йосип,Іванович,Чоловік,1963-05-08,Прокурор,місто Ізюм,"сквер Дубова, буд. 461, Новий Буг, 75539",033 73 33,esaienko@example.net
Дерегус,Ольга,Андріївна,Жінка,2001-08-27,Кінорежисер,хутір Шостка,"проспект Об'їзна дорога, буд. 319 кв. 4, Дунаївці, 98549",+380 00 329-97-11,smakohon@example.org
Данькевич,Віктор,Петрович,Чоловік,1965-08-22,Етнограф,місто Новомиргород,"набережна П'ята, буд. 6, Шпола, 69233",+380 02 351 29 98,makarenkoanzhela@example.com
Оніщук,Зорян,Андрійович,Чоловік,1993-07-09,Диригент,село Красноперекопськ,"проспект Дур'янівський, буд. 6 кв. 39, Чорноморськ, 55703",194-77-46,tereza75@example.net
Дзюба,Хома,Олександрович,Чоловік,1998-12-16,Астрофізик,місто Рахів,"сквер Стороженка Олега, буд. 063, Синельникове, 19928",014-90-01,jazhazha@example.org
Вернидуб,Алевтин,Григорович,Чоловік,1993-07-09,Єгер,місто Слов'янськ,"набережна Поперечний, буд. 0, Попасна, 63037",854-28-23,amaliia06@example.org
Засядько,Ілля,Іванович,Чоловік,2003-04-16,Акушер,хутір Рені,"проспект Михайла Грушевського, буд. 310, Жовті Води, 14058",+380 30 705-38-73,pdanylenko@example.org
Цушко,Пармен,Миколайович,Чоловік,1965-12-04,Фольклорист,хутір Корець,"шосе Хаджибейський 3-й, буд. 71 кв. 833, Харцизьк, 96838",531 24 22,viralysenko@example.com
Ярема,Лесь,Максимович,Чоловік,1957-09-03,Мінералог,селище Устилуг,"площа Костанді, буд. 191, Ніжин, 11721",905 80 54,bohdan87@example.org
Тесленко,Василина,Георгіївна,Жінка,1963-05-19,Фотограф,місто Білопілля,"набережна Пляжна, буд. 7 кв. 15, Скалат, 04998",+380 01 792-94-16,rpanchuk@example.org
Лазаренко,Пантелеймон,Григорович,Чоловік,1972-05-25,Петрограф,селище Балта,"площа Восьмого березня 1-й, буд. 29 кв. 5, Бобровиця, 68185",+380 16 888 81 35,orest50@example.com
Стельмах,Гордій,Максимович,Чоловік,1986-01-15,Слідчий,селище Пустомити,"вулиця Тираспольська, буд. 0 кв. 23, Скадовськ, 07035",+380 67 429-73-93,solomonhrechanyk@example.org
Василашко,Єлисей,Тимофійович,Чоловік,1992-10-24,Фрілансер,село Златопіль,"провулок Травневий 3-й, буд. 3, Чортків, 07844",+380 82 848-74-35,sviatoslavadubas@example.net
Вітер,Ліза,Петрівна,Жінка,1984-02-05,Кушнір,хутір Галич,"провулок Флотський 3-й, буд. 51, Надвірна, 23017",+380 31 521-11-24,hryhorii55@example.net
Андрієвич,Спас,Павлович,Чоловік,1940-01-06,Підприємець,хутір Узин,"вулиця Михайла Врубеля, буд. 858 кв. 48, Красногорівка, 07912",082 003 52 50,aaron91@example.org
Євтушенко,Богуслава,Максимівна,Жінка,1962-11-08,Кінокритик,село Новоазовськ,"площа Совіньйонівський, буд. 4 кв. 0, Сколе, 19645",013 041-27-37,tsybulenkoiustym@example.com
Лукаш,Ярема,Григорович,Чоловік,1999-03-01,Актор,місто Галич,"сквер Корнюшина, буд. 2 кв. 110, Ірміно, 95760",+380 23 352-52-40,hliboliinyk@example.org
